,Fecha,Hora,AE_kWh
185,08/07/2020,18,0.299
186,08/07/2020,19,0.34
187,08/07/2020,20,0.306
188,08/07/2020,21,0.285
189,08/07/2020,22,0.398
190,08/07/2020,23,0.283
191,08/07/2020,24,0.28
192,09/07/2020,1,0.213
193,09/07/2020,2,0.267
194,09/07/2020,3,0.227
195,09/07/2020,4,0.21
196,09/07/2020,5,0.209
197,09/07/2020,6,0.209
198,09/07/2020,7,0.212
199,09/07/2020,8,0.272
200,09/07/2020,9,0.199
201,09/07/2020,10,0.198
202,09/07/2020,11,0.34
203,09/07/2020,12,0.798
204,09/07/2020,13,0.252
205,09/07/2020,14,0.679
206,09/07/2020,15,0.417
207,09/07/2020,16,0.308
208,09/07/2020,17,0.443
209,09/07/2020,18,0.837
210,09/07/2020,19,0.648
211,09/07/2020,20,0.456
212,09/07/2020,21,0.208
213,09/07/2020,22,0.271
214,09/07/2020,23,0.361
215,09/07/2020,24,0.314
216,10/07/2020,1,0.229
217,10/07/2020,2,0.223
218,10/07/2020,3,0.213
219,10/07/2020,4,0.219
220,10/07/2020,5,0.213
221,10/07/2020,6,0.217
222,10/07/2020,7,0.414
223,10/07/2020,8,0.243
224,10/07/2020,9,0.207
225,10/07/2020,10,0.2
226,10/07/2020,11,0.203
227,10/07/2020,12,0.204
228,10/07/2020,13,0.199
229,10/07/2020,14,0.204
230,10/07/2020,15,0.204
231,10/07/2020,16,0.303
232,10/07/2020,17,0.298
233,10/07/2020,18,0.253
234,10/07/2020,19,0.191
235,10/07/2020,20,0.198
236,10/07/2020,21,0.196
237,10/07/2020,22,0.298
238,10/07/2020,23,0.394
239,10/07/2020,24,0.346
240,11/07/2020,1,0.251
241,11/07/2020,2,0.2
242,11/07/2020,3,0.2
243,11/07/2020,4,0.204
244,11/07/2020,5,0.197
245,11/07/2020,6,0.196
246,11/07/2020,7,0.246
247,11/07/2020,8,0.365
248,11/07/2020,9,0.315
249,11/07/2020,10,0.258
250,11/07/2020,11,0.212
251,11/07/2020,12,0.19
252,11/07/2020,13,0.186
253,11/07/2020,14,0.184
254,11/07/2020,15,0.184
255,11/07/2020,16,0.186
256,11/07/2020,17,0.192
257,11/07/2020,18,0.236
258,11/07/2020,19,0.191
259,11/07/2020,20,0.193
260,11/07/2020,21,0.241
261,11/07/2020,22,0.189
262,11/07/2020,23,0.191
263,11/07/2020,24,0.281
264,12/07/2020,1,0.375
265,12/07/2020,2,0.256
266,12/07/2020,3,0.208
267,12/07/2020,4,0.197
268,12/07/2020,5,0.195
269,12/07/2020,6,0.197
270,12/07/2020,7,0.219
271,12/07/2020,8,0.203
272,12/07/2020,9,0.438
273,12/07/2020,10,0.318
274,12/07/2020,11,0.233
275,12/07/2020,12,0.197
276,12/07/2020,13,0.254
277,12/07/2020,14,0.486
278,12/07/2020,15,0.984
279,12/07/2020,16,0.881
280,12/07/2020,17,0.347
281,12/07/2020,18,0.341
282,12/07/2020,19,0.285
283,12/07/2020,20,0.203
284,12/07/2020,21,0.204
285,12/07/2020,22,0.199
286,12/07/2020,23,0.204
287,12/07/2020,24,0.267
288,13/07/2020,1,0.258
289,13/07/2020,2,0.209
290,13/07/2020,3,0.216
291,13/07/2020,4,0.205
292,13/07/2020,5,0.204
293,13/07/2020,6,0.222
294,13/07/2020,7,0.327
295,13/07/2020,8,0.358
296,13/07/2020,9,0.197
297,13/07/2020,10,0.195
298,13/07/2020,11,0.194
299,13/07/2020,12,0.2
300,13/07/2020,13,0.198
301,13/07/2020,14,0.192
302,13/07/2020,15,0.194
303,13/07/2020,16,0.201
304,13/07/2020,17,0.197
305,13/07/2020,18,0.213
306,13/07/2020,19,0.543
307,13/07/2020,20,0.307
308,13/07/2020,21,0.257
309,13/07/2020,22,0.275
310,13/07/2020,23,0.291
311,13/07/2020,24,0.261
312,14/07/2020,1,0.209
313,14/07/2020,2,0.212
314,14/07/2020,3,0.205
315,14/07/2020,4,0.205
316,14/07/2020,5,0.202
317,14/07/2020,6,0.209
318,14/07/2020,7,0.205
319,14/07/2020,8,0.415
320,14/07/2020,9,0.223
321,14/07/2020,10,0.198
322,14/07/2020,11,0.193
323,14/07/2020,12,0.195
324,14/07/2020,13,0.206
325,14/07/2020,14,0.25
326,14/07/2020,15,0.205
327,14/07/2020,16,0.203
328,14/07/2020,17,0.194
329,14/07/2020,18,0.252
330,14/07/2020,19,0.218
331,14/07/2020,20,0.203
332,14/07/2020,21,0.196
333,14/07/2020,22,0.247
334,14/07/2020,23,0.294
335,14/07/2020,24,0.274
336,15/07/2020,1,0.208
337,15/07/2020,2,0.214
338,15/07/2020,3,0.204
339,15/07/2020,4,0.205
340,15/07/2020,5,0.213
341,15/07/2020,6,0.261
342,15/07/2020,7,0.213
343,15/07/2020,8,0.452
344,15/07/2020,9,0.196
345,15/07/2020,10,0.151
346,15/07/2020,11,0.0
347,15/07/2020,12,0.0
348,15/07/2020,13,0.0
349,15/07/2020,14,0.002
350,15/07/2020,15,0.0
351,15/07/2020,16,0.133
352,15/07/2020,17,0.145
353,15/07/2020,18,0.185
354,15/07/2020,19,0.469
355,15/07/2020,20,0.229
356,15/07/2020,21,0.267
357,15/07/2020,22,0.328
358,15/07/2020,23,0.283
359,15/07/2020,24,0.223
360,16/07/2020,1,0.216
361,16/07/2020,2,0.212
362,16/07/2020,3,0.205
363,16/07/2020,4,0.204
364,16/07/2020,5,0.207
365,16/07/2020,6,0.204
366,16/07/2020,7,0.2
367,16/07/2020,8,0.554
368,16/07/2020,9,0.746
369,16/07/2020,10,0.223
370,16/07/2020,11,0.234
371,16/07/2020,12,0.258
372,16/07/2020,13,0.206
373,16/07/2020,14,0.2
374,16/07/2020,15,0.194
375,16/07/2020,16,0.194
376,16/07/2020,17,0.213
377,16/07/2020,18,0.199
378,16/07/2020,19,0.359
379,16/07/2020,20,0.303
380,16/07/2020,21,0.274
381,16/07/2020,22,0.269
382,16/07/2020,23,0.274
383,16/07/2020,24,0.236
384,17/07/2020,1,0.222
385,17/07/2020,2,0.205
386,17/07/2020,3,0.256
387,17/07/2020,4,0.206
388,17/07/2020,5,0.204
389,17/07/2020,6,0.201
390,17/07/2020,7,0.196
391,17/07/2020,8,0.431
392,17/07/2020,9,0.2
393,17/07/2020,10,0.189
394,17/07/2020,11,0.19
395,17/07/2020,12,0.197
396,17/07/2020,13,0.192
397,17/07/2020,14,0.189
398,17/07/2020,15,0.189
399,17/07/2020,16,0.196
400,17/07/2020,17,0.193
401,17/07/2020,18,0.368
402,17/07/2020,19,0.423
403,17/07/2020,20,0.274
404,17/07/2020,21,0.227
405,17/07/2020,22,0.208
406,17/07/2020,23,0.208
407,17/07/2020,24,0.255
408,18/07/2020,1,0.274
409,18/07/2020,2,0.26
410,18/07/2020,3,0.217
411,18/07/2020,4,0.214
412,18/07/2020,5,0.205
413,18/07/2020,6,0.208
414,18/07/2020,7,0.206
415,18/07/2020,8,0.236
416,18/07/2020,9,0.202
417,18/07/2020,10,0.461
418,18/07/2020,11,0.356
419,18/07/2020,12,0.211
420,18/07/2020,13,0.206
421,18/07/2020,14,0.193
422,18/07/2020,15,0.192
423,18/07/2020,16,0.195
424,18/07/2020,17,0.197
425,18/07/2020,18,0.196
426,18/07/2020,19,0.194
427,18/07/2020,20,0.194
428,18/07/2020,21,0.194
429,18/07/2020,22,0.196
430,18/07/2020,23,0.198
431,18/07/2020,24,0.202
432,19/07/2020,1,0.249
433,19/07/2020,2,0.232
434,19/07/2020,3,0.207
435,19/07/2020,4,0.242
436,19/07/2020,5,0.231
437,19/07/2020,6,0.209
438,19/07/2020,7,0.209
439,19/07/2020,8,0.241
440,19/07/2020,9,0.198
441,19/07/2020,10,0.206
442,19/07/2020,11,0.422
443,19/07/2020,12,0.708
444,19/07/2020,13,1.356
445,19/07/2020,14,1.081
446,19/07/2020,15,0.371
447,19/07/2020,16,1.133
448,19/07/2020,17,0.384
449,19/07/2020,18,0.35
450,19/07/2020,19,0.215
451,19/07/2020,20,0.214
452,19/07/2020,21,0.21
453,19/07/2020,22,0.216
454,19/07/2020,23,0.213
455,19/07/2020,24,0.216
456,20/07/2020,1,0.313
457,20/07/2020,2,0.242
458,20/07/2020,3,0.237
459,20/07/2020,4,0.214
460,20/07/2020,5,0.223
461,20/07/2020,6,0.216
462,20/07/2020,7,0.353
463,20/07/2020,8,0.275
464,20/07/2020,9,0.22
465,20/07/2020,10,0.207
466,20/07/2020,11,0.206
467,20/07/2020,12,0.218
468,20/07/2020,13,0.225
469,20/07/2020,14,0.307
470,20/07/2020,15,0.258
471,20/07/2020,16,0.352
472,20/07/2020,17,0.306
473,20/07/2020,18,0.244
474,20/07/2020,19,0.203
475,20/07/2020,20,0.252
