CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031607230862002QQ0F;04/07/2020;17;0,193;;;R
ES0031607230862002QQ0F;04/07/2020;18;0,191;;;R
ES0031607230862002QQ0F;04/07/2020;19;0,192;;;R
ES0031607230862002QQ0F;04/07/2020;20;0,196;;;R
ES0031607230862002QQ0F;04/07/2020;21;0,193;;;R
ES0031607230862002QQ0F;04/07/2020;22;0,207;;;R
ES0031607230862002QQ0F;04/07/2020;23;0,252;;;R
ES0031607230862002QQ0F;04/07/2020;24;0,271;;;R
ES0031607230862002QQ0F;05/07/2020;1;0,26;;;R
ES0031607230862002QQ0F;05/07/2020;2;0,217;;;R
ES0031607230862002QQ0F;05/07/2020;3;0,202;;;R
ES0031607230862002QQ0F;05/07/2020;4;0,199;;;R
ES0031607230862002QQ0F;05/07/2020;5;0,199;;;R
ES0031607230862002QQ0F;05/07/2020;6;0,199;;;R
ES0031607230862002QQ0F;05/07/2020;7;0,199;;;R
ES0031607230862002QQ0F;05/07/2020;8;0,228;;;R
ES0031607230862002QQ0F;05/07/2020;9;0,25;;;R
ES0031607230862002QQ0F;05/07/2020;10;0,222;;;R
ES0031607230862002QQ0F;05/07/2020;11;0,353;;;R
ES0031607230862002QQ0F;05/07/2020;12;0,228;;;R
ES0031607230862002QQ0F;05/07/2020;13;0,204;;;R
ES0031607230862002QQ0F;05/07/2020;14;0,189;;;R
ES0031607230862002QQ0F;05/07/2020;15;0,87;;;R
ES0031607230862002QQ0F;05/07/2020;16;0,943;;;R
ES0031607230862002QQ0F;05/07/2020;17;0,349;;;R
ES0031607230862002QQ0F;05/07/2020;18;0,203;;;R
ES0031607230862002QQ0F;05/07/2020;19;0,189;;;R
ES0031607230862002QQ0F;05/07/2020;20;0,195;;;R
ES0031607230862002QQ0F;05/07/2020;21;0,19;;;R
ES0031607230862002QQ0F;05/07/2020;22;0,192;;;R
ES0031607230862002QQ0F;05/07/2020;23;0,193;;;R
ES0031607230862002QQ0F;05/07/2020;24;0,228;;;R
ES0031607230862002QQ0F;06/07/2020;1;0,275;;;R
ES0031607230862002QQ0F;06/07/2020;2;0,292;;;R
ES0031607230862002QQ0F;06/07/2020;3;0,207;;;R
ES0031607230862002QQ0F;06/07/2020;4;0,202;;;R
ES0031607230862002QQ0F;06/07/2020;5;0,203;;;R
ES0031607230862002QQ0F;06/07/2020;6;0,198;;;R
ES0031607230862002QQ0F;06/07/2020;7;0,196;;;R
ES0031607230862002QQ0F;06/07/2020;8;0,22;;;R
ES0031607230862002QQ0F;06/07/2020;9;0,187;;;R
ES0031607230862002QQ0F;06/07/2020;10;0,189;;;R
ES0031607230862002QQ0F;06/07/2020;11;0,193;;;R
ES0031607230862002QQ0F;06/07/2020;12;0,219;;;R
ES0031607230862002QQ0F;06/07/2020;13;0,191;;;R
ES0031607230862002QQ0F;06/07/2020;14;0,242;;;R
ES0031607230862002QQ0F;06/07/2020;15;0,29;;;R
ES0031607230862002QQ0F;06/07/2020;16;0,581;;;R
ES0031607230862002QQ0F;06/07/2020;17;0,421;;;R
ES0031607230862002QQ0F;06/07/2020;18;0,318;;;R
ES0031607230862002QQ0F;06/07/2020;19;0,268;;;R
ES0031607230862002QQ0F;06/07/2020;20;0,405;;;R
ES0031607230862002QQ0F;06/07/2020;21;0,247;;;R
ES0031607230862002QQ0F;06/07/2020;22;0,256;;;R
ES0031607230862002QQ0F;06/07/2020;23;0,31;;;R
ES0031607230862002QQ0F;06/07/2020;24;0,335;;;R
ES0031607230862002QQ0F;07/07/2020;1;0,227;;;R
ES0031607230862002QQ0F;07/07/2020;2;0,203;;;R
ES0031607230862002QQ0F;07/07/2020;3;0,2;;;R
ES0031607230862002QQ0F;07/07/2020;4;0,198;;;R
ES0031607230862002QQ0F;07/07/2020;5;0,195;;;R
ES0031607230862002QQ0F;07/07/2020;6;0,197;;;R
ES0031607230862002QQ0F;07/07/2020;7;0,202;;;R
ES0031607230862002QQ0F;07/07/2020;8;0,253;;;R
ES0031607230862002QQ0F;07/07/2020;9;0,244;;;R
ES0031607230862002QQ0F;07/07/2020;10;0,21;;;R
ES0031607230862002QQ0F;07/07/2020;11;0,19;;;R
ES0031607230862002QQ0F;07/07/2020;12;0,283;;;R
ES0031607230862002QQ0F;07/07/2020;13;0,247;;;R
ES0031607230862002QQ0F;07/07/2020;14;0,262;;;R
ES0031607230862002QQ0F;07/07/2020;15;0,288;;;R
ES0031607230862002QQ0F;07/07/2020;16;0,26;;;R
ES0031607230862002QQ0F;07/07/2020;17;0,259;;;R
ES0031607230862002QQ0F;07/07/2020;18;0,257;;;R
ES0031607230862002QQ0F;07/07/2020;19;0,308;;;R
ES0031607230862002QQ0F;07/07/2020;20;0,333;;;R
ES0031607230862002QQ0F;07/07/2020;21;0,302;;;R
ES0031607230862002QQ0F;07/07/2020;22;0,297;;;R
ES0031607230862002QQ0F;07/07/2020;23;0,332;;;R
ES0031607230862002QQ0F;07/07/2020;24;0,244;;;R
ES0031607230862002QQ0F;08/07/2020;1;0,215;;;R
ES0031607230862002QQ0F;08/07/2020;2;0,207;;;R
ES0031607230862002QQ0F;08/07/2020;3;0,207;;;R
ES0031607230862002QQ0F;08/07/2020;4;0,209;;;R
ES0031607230862002QQ0F;08/07/2020;5;0,213;;;R
ES0031607230862002QQ0F;08/07/2020;6;0,206;;;R
ES0031607230862002QQ0F;08/07/2020;7;0,204;;;R
ES0031607230862002QQ0F;08/07/2020;8;0,273;;;R
ES0031607230862002QQ0F;08/07/2020;9;0,199;;;R
ES0031607230862002QQ0F;08/07/2020;10;0,302;;;R
ES0031607230862002QQ0F;08/07/2020;11;0,198;;;R
ES0031607230862002QQ0F;08/07/2020;12;0,206;;;R
ES0031607230862002QQ0F;08/07/2020;13;0,368;;;R
ES0031607230862002QQ0F;08/07/2020;14;0,361;;;R
ES0031607230862002QQ0F;08/07/2020;15;0,23;;;R
ES0031607230862002QQ0F;08/07/2020;16;0,238;;;R
ES0031607230862002QQ0F;08/07/2020;17;0,298;;;R
ES0031607230862002QQ0F;08/07/2020;18;0,299;;;R
ES0031607230862002QQ0F;08/07/2020;19;0,34;;;R
ES0031607230862002QQ0F;08/07/2020;20;0,306;;;R
ES0031607230862002QQ0F;08/07/2020;21;0,285;;;R
ES0031607230862002QQ0F;08/07/2020;22;0,398;;;R
ES0031607230862002QQ0F;08/07/2020;23;0,283;;;R
ES0031607230862002QQ0F;08/07/2020;24;0,28;;;R
